,classe,grid_name,year,area_ha
11599,12,NA-19-Z-B,2021,141.90084470214822
11889,15,NA-19-Z-B,2021,184.27485234375
12687,33,NA-19-Z-B,2021,4865.655807612581
12977,3,NA-19-Z-B,2022,537140.2125367044
13504,11,NA-19-Z-B,2022,820.810831640267
13794,12,NA-19-Z-B,2022,134.17158886639746
14083,15,NA-19-Z-B,2022,244.5999957275389
14886,33,NA-19-Z-B,2022,5025.876708035216
15178,3,NA-19-Z-B,2023,536828.1907222557
15701,11,NA-19-Z-B,2023,738.56615036238
15981,12,NA-19-Z-B,2023,120.14172571332134
16265,15,NA-19-Z-B,2023,282.8502294189452
16784,25,NA-19-Z-B,2023,3.753908843994143
17066,33,NA-19-Z-B,2023,5392.168924378357
6,3,NA-19-Z-C,2016,1807519.4649408928
527,11,NA-19-Z-C,2016,17132.412527065244
817,12,NA-19-Z-C,2016,398.0607987487805
1105,15,NA-19-Z-C,2016,247.4409851989749
1864,33,NA-19-Z-C,2016,27288.63260781361
2154,3,NA-19-Z-C,2017,1807284.8644992472
2675,11,NA-19-Z-C,2017,17001.46889318705
2965,12,NA-19-Z-C,2017,394.485128491212
3253,15,NA-19-Z-C,2017,247.4409748168948
4013,33,NA-19-Z-C,2017,27657.75236397679
4304,3,NA-19-Z-C,2018,1806209.3663357366
4825,11,NA-19-Z-C,2018,18470.816868152546
5115,12,NA-19-Z-C,2018,395.3791093750011
5404,15,NA-19-Z-C,2018,247.6197837280276
6163,33,NA-19-Z-C,2018,27262.829762735637
6454,3,NA-19-Z-C,2019,1807473.6508374186
6974,11,NA-19-Z-C,2019,17210.148889708773
7265,12,NA-19-Z-C,2019,398.7759182556162
7555,15,NA-19-Z-C,2019,247.4408639343265
8318,33,NA-19-Z-C,2019,27255.99535040164
8608,3,NA-19-Z-C,2020,1807476.4322172627
9132,11,NA-19-Z-C,2020,17366.44158574507
9423,12,NA-19-Z-C,2020,400.29562974853616
9714,15,NA-19-Z-C,2020,293.03168408813497
10489,33,NA-19-Z-C,2020,27049.810742872465
10779,3,NA-19-Z-C,2021,1806914.6484879
11308,11,NA-19-Z-C,2021,17703.924531942226
11600,12,NA-19-Z-C,2021,400.8318503356941
11890,15,NA-19-Z-C,2021,333.79532566528366
12688,33,NA-19-Z-C,2021,27232.8116638745
12978,3,NA-19-Z-C,2022,1805910.0114113092
13505,11,NA-19-Z-C,2022,15468.175830390192
13795,12,NA-19-Z-C,2022,371.420879699708
14084,15,NA-19-Z-C,2022,622.8108834228508
14887,33,NA-19-Z-C,2022,30213.592854893635
15179,3,NA-19-Z-C,2023,1808557.0810297495
15702,11,NA-19-Z-C,2023,13066.888024174465
15982,12,NA-19-Z-C,2023,297.9409056457524
16266,15,NA-19-Z-C,2023,1058.9633344543452
16785,25,NA-19-Z-C,2023,29.76620565185548
17067,33,NA-19-Z-C,2023,29575.372360037545
7,3,NA-19-Z-D,2016,1679134.8473976653
296,4,NA-19-Z-D,2016,1.2514870910644529
528,11,NA-19-Z-D,2016,8646.960503542507
818,12,NA-19-Z-D,2016,4446.1496295183
1106,15,NA-19-Z-D,2016,348.7161056152341
1865,33,NA-19-Z-D,2016,26774.60756317448
2155,3,NA-19-Z-D,2017,1679184.4580209896
2444,4,NA-19-Z-D,2017,1.2514870910644529
2676,11,NA-19-Z-D,2017,8370.570109632732
2966,12,NA-19-Z-D,2017,4635.209493238991
3254,15,NA-19-Z-D,2017,350.6826823669432
4014,33,NA-19-Z-D,2017,26803.03098379781
4305,3,NA-19-Z-D,2018,1678043.3902346143
4594,4,NA-19-Z-D,2018,1.2514870910644529
4826,11,NA-19-Z-D,2018,9604.067830977843
5116,12,NA-19-Z-D,2018,4629.846571479947
5405,15,NA-19-Z-D,2018,350.7720969238279
6164,33,NA-19-Z-D,2018,26721.41668757016
